state,year,metric,age_group,count,population,rate
AK,2008,Abortion,20-24,650.0,23984,2710.140093395597
AK,2008,Abortion,25-29,470.0,24323,1932.3274267154547
AK,2008,Abortion,30-34,230.0,21240,1082.8625235404897
AK,2008,Abortion,35-39,160.0,22330,716.5248544558889
AK,2008,Abortion,40+,60.0,23185,258.7880094888937
AK,2008,Birth,15-19,1135.0,25685,4418.921549542534
AK,2008,Birth,20-24,3350.0,23984,13967.645096731154
AK,2008,Birth,25-29,3388.0,24323,13929.202812153104
AK,2008,Birth,30-34,2189.0,21240,10306.026365348398
AK,2008,Birth,35-39,1084.0,22330,4854.455888938647
AK,2008,Birth,40+,273.0,23185,1177.4854431744661
AK,2008,Miscarriage,15-19,270.0,25685,1051.1971968074752
AK,2008,Miscarriage,20-24,740.0,23984,3085.390260173449
AK,2008,Miscarriage,25-29,720.0,24323,2960.161164330058
AK,2008,Miscarriage,30-34,460.0,21240,2165.7250470809795
AK,2008,Miscarriage,35-39,230.0,22330,1030.0044782803402
AK,2008,Miscarriage,40+,60.0,23185,258.7880094888937
AK,2008,Pregnancy,15-19,1780.0,25685,6930.114853027058
AK,2008,Pregnancy,20-24,4740.0,23984,19763.1754503002
AK,2008,Pregnancy,25-29,4580.0,24323,18829.914073099535
AK,2008,Pregnancy,30-34,2880.0,21240,13559.322033898305
AK,2008,Pregnancy,35-39,1470.0,22330,6583.0721003134795
AK,2008,Pregnancy,40+,400.0,23185,1725.2533965926245
AK,2009,Abortion,15-19,360.0,25602,1406.1401453011483
AK,2009,Abortion,20-24,670.0,24362,2750.1847138986946
AK,2009,Abortion,25-29,510.0,25283,2017.1656844520032
AK,2009,Abortion,30-34,250.0,22085,1131.9900384876612
AK,2009,Abortion,35-39,180.0,22268,808.3348302496856
AK,2009,Abortion,40+,60.0,22908,261.91723415400736
AK,2009,Birth,15-19,1106.0,25602,4319.975001952973
AK,2009,Birth,20-24,3146.0,24362,12913.553895410887
AK,2009,Birth,25-29,3410.0,25283,13487.32349800261
AK,2009,Birth,30-34,2268.0,22085,10269.413629160064
AK,2009,Birth,35-39,1123.0,22268,5043.11119094665
AK,2009,Birth,40+,242.0,22908,1056.3995110878295
AK,2009,Miscarriage,15-19,260.0,25602,1015.5456604952738
AK,2009,Miscarriage,20-24,700.0,24362,2873.327313028487
AK,2009,Miscarriage,25-29,730.0,25283,2887.315587548946
AK,2009,Miscarriage,30-34,480.0,22085,2173.42087389631
AK,2009,Miscarriage,35-39,240.0,22268,1077.7797736662474
AK,2009,Miscarriage,40+,50.0,22908,218.2643617950061
AK,2009,Pregnancy,15-19,1720.0,25602,6718.225138661042
AK,2009,Pregnancy,20-24,4520.0,24362,18553.484935555374
AK,2009,Pregnancy,25-29,4660.0,25283,18431.35703832615
AK,2009,Pregnancy,30-34,2990.0,22085,13538.60086031243
AK,2009,Pregnancy,35-39,1550.0,22268,6960.661038261182
AK,2009,Pregnancy,40+,350.0,22908,1527.8505325650428
AK,2010,Abortion,15-19,420.0,24853,1689.936828551885
AK,2010,Abortion,20-24,730.0,24961,2924.5623172148553
AK,2010,Abortion,25-29,490.0,26394,1856.482533909222
AK,2010,Abortion,30-34,270.0,23123,1167.6685551182804
AK,2010,Abortion,35-39,150.0,22035,680.7351940095302
AK,2010,Abortion,40+,50.0,22540,221.82786157941436
AK,2010,Birth,15-19,956.0,24853,3846.6181145133387
AK,2010,Birth,20-24,3309.0,24961,13256.680421457473
AK,2010,Birth,25-29,3447.0,26394,13059.786315071606
AK,2010,Birth,30-34,2454.0,23123,10612.809756519482
AK,2010,Birth,35-39,1013.0,22035,4597.231676877695
AK,2010,Birth,40+,269.0,22540,1193.4338952972494
AK,2010,Miscarriage,15-19,230.0,24853,925.4415965879372
AK,2010,Miscarriage,20-24,730.0,24961,2924.5623172148553
AK,2010,Miscarriage,25-29,740.0,26394,2803.667500189437
AK,2010,Miscarriage,30-34,520.0,23123,2248.8431431907625
AK,2010,Miscarriage,35-39,220.0,22035,998.4116178806445
AK,2010,Miscarriage,40+,60.0,22540,266.19343389529723
AK,2010,Pregnancy,15-19,1610.0,24853,6478.091176115559
AK,2010,Pregnancy,20-24,4770.0,24961,19109.81130563679
AK,2010,Pregnancy,25-29,4670.0,26394,17693.415170114422
AK,2010,Pregnancy,30-34,3250.0,23123,14055.269644942264
AK,2010,Pregnancy,35-39,1380.0,22035,6262.763784887678
AK,2010,Pregnancy,40+,380.0,22540,1685.891748003549
AK,2011,Abortion,15-19,340.0,24195,1405.2490183922298
AK,2011,Abortion,20-24,700.0,25658,2728.193935614623
AK,2011,Abortion,25-29,500.0,27304,1831.23351889833
AK,2011,Abortion,30-34,260.0,24113,1078.2565421142122
AK,2011,Abortion,35-39,170.0,21449,792.5777425521004
AK,2011,Abortion,40+,50.0,22661,220.64339614315344
