state,year,abortion_restricted,inadequate_prenatal_care,no_cancer_screen,infant_mortality,maternal_mortality,maternity_care_desert,maternity_practices_score,no_postpartum_visit,unintended_pregnancy,no_preventative,patients_per_doctor,inadequate_prenatal_care_z,no_cancer_screen_z,infant_mortality_z,maternal_mortality_z,maternity_care_desert_z,maternity_practices_score_z,no_postpartum_visit_z,unintended_pregnancy_z,no_preventative_z,patients_per_doctor_z,risk_index,post_dobbs,policy_shock
HI,2023,1,37.6,53.3,5.3,16.6,0.0,-75.0,8.0,24.2,27.700000000000003,1628.6644951140065,2.72540114119491,1.5430590752792281,-0.36655001975053286,-1.0072396252087372,-0.8894287859774583,1.0491553375668827,-0.747391967703235,-0.45753780163001095,0.15862720911052647,-1.0662887858788803,0.09418057770026929,1.0,1.0
IA,2018,1,14.5,18.59999999999999,5.0,19.5,10.1,-72.0,6.599999999999994,24.1,22.0,2659.574468085106,-1.6898110340819976,-1.5547682752635301,-0.6281908959172918,-0.6278182227157622,0.9111316234566469,1.6105127653571112,-1.2947098039972396,-0.4693154954604419,-1.257674296977324,1.135273006351174,-0.3865370629248655,0.0,0.0
IA,2019,1,14.099999999999994,25.39999999999999,5.0,19.7,10.1,-73.5,6.599999999999994,24.1,22.700000000000003,2659.574468085106,-1.766264924562984,-0.947701244033249,-0.6281908959172918,-0.6016512294403847,0.9111316234566469,1.3298340514619968,-1.2947098039972396,-0.4693154954604419,-1.083742533071798,1.135273006351174,-0.34153374452135715,0.0,0.0
IA,2020,1,15.900000000000006,32.19999999999999,4.7,19.7,10.1,-75.0,8.700000000000003,20.4,22.700000000000003,2590.6735751295337,-1.4222224173985476,-0.3406342128029682,-0.8898317720840507,-0.6016512294403847,0.9111316234566469,1.0491553375668827,-0.47373304955623274,-0.9050901671863956,-1.083742533071798,0.9881315707665035,-0.2768486849750345,0.0,0.0
IA,2021,1,15.099999999999994,39.0,4.6,19.7,10.1,-74.0,8.400000000000006,20.4,23.200000000000003,2564.102564102564,-1.5751301983605206,0.26643281842731387,-0.9770453974729709,-0.6016512294403847,0.9111316234566469,1.2362744801636256,-0.5910154430478035,-0.9050901671863956,-0.9595055588535655,0.9313877966333379,-0.2264211275680716,0.0,0.0
IA,2023,1,15.900000000000006,45.8,5.2,19.7,10.1,-73.0,7.799999999999997,20.4,23.5,2652.519893899204,-1.4222224173985476,0.8734998496575946,-0.4537636451394523,-0.6016512294403847,0.9111316234566469,1.4233936227603683,-0.8255802300309507,-0.9050901671863956,-0.8849633743226267,1.1202075967661118,-0.07650383708776358,1.0,1.0
IL,2018,0,22.09999999999999,20.799999999999997,6.1,18.1,2.8,-80.0,7.0,30.8,24.299999999999997,1956.9471624266143,-0.23718711494327663,-1.3583642357478505,0.3311589833608245,-0.8109871756434052,-0.39026352395612224,0.11355962458316841,-1.138333279341808,0.31978999117844664,-0.6861842155734555,-0.3652240989946566,-0.4222035045078135,0.0,0.0
IL,2019,0,21.200000000000003,29.200000000000003,6.1,18.1,2.8,-81.0,6.099999999999994,31.5,24.299999999999997,1956.9471624266143,-0.4092083685254915,-0.6084579030516204,0.3311589833608245,-0.8109871756434052,-0.39026352395612224,-0.07355951801357444,-1.490180459816526,0.4022338479914648,-0.6861842155734555,-0.3652240989946566,-0.4100672432222562,0.0,0.0
IL,2020,0,21.59999999999999,37.599999999999994,5.6,18.1,2.8,-82.0,8.599999999999994,27.6,24.5,1904.7619047619048,-0.33275447804450836,0.14144842964460844,-0.10490914358377397,-0.8109871756434052,-0.39026352395612224,-0.2606786606103173,-0.5128271807200934,-0.0570962113953508,-0.6364894258861619,-0.4766684272139218,-0.3441225797409046,0.0,0.0
IL,2021,0,19.799999999999997,46.0,5.6,18.1,2.8,-81.0,6.799999999999997,27.5,24.40000000000001,1862.19739292365,-0.6767969852089415,0.8913547623408384,-0.10490914358377397,-0.8109871756434052,-0.39026352395612224,-0.07355951801357444,-1.2165215416695239,-0.06887390522578214,-0.661336820729806,-0.5675671530240487,-0.367946100471414,0.0,0.0
