State,Year,Abortion Restricted,Inadequate Prenatal Care,No Cancer Screen,Infant Mortality,Maternal Mortality,Maternity Care Desert,Maternity Practices Score,No Postpartum Visit,Unintended Pregnancy,No Preventative,Patients Per Doctor,Region
NC,2021,1,23.0,34.175,6.8,26.7,2.7,-83.0,8.400000000000006,30.9,24.09999999999999,2074.688796680498,South
NC,2022,1,24.0,39.8,6.8,26.7,2.7,-82.0,8.400000000000006,30.9,25.09999999999999,2141.327623126338,South
NC,2023,1,22.5,39.8,6.9,29.8,2.7,-82.0,8.400000000000006,30.9,25.09999999999999,2114.1649048625795,South
ND,2018,1,19.59999999999999,21.700000000000003,6.5,21.6,16.3,-73.0,9.0,29.2,28.799999999999997,2500.0,Midwest
ND,2019,1,21.299999999999997,26.5,6.5,21.6,16.3,-75.0,10.700000000000005,26.5,28.799999999999997,2500.0,Midwest
ND,2020,1,22.200000000000003,31.299999999999997,6.5,21.6,16.3,-77.0,10.700000000000005,20.4,30.40000000000001,2398.0815347721823,Midwest
ND,2021,1,19.59999999999999,36.1,4.1,21.6,16.3,-78.0,7.599999999999994,23.7,29.200000000000003,2364.066193853428,Midwest
ND,2022,1,21.09999999999999,40.9,4.6,21.6,16.3,-79.0,6.799999999999997,20.7,26.299999999999997,2463.054187192118,Midwest
ND,2023,1,20.799999999999997,40.9,4.6,24.1,16.3,-79.0,8.5,17.1,26.299999999999997,2409.6385542168673,Midwest
NE,2018,1,21.5,18.0,5.4,25.1,7.2,-71.0,8.700000000000003,31.3,28.0,2314.814814814815,Midwest
NE,2019,1,20.0,24.950000000000003,5.4,23.7,7.2,-72.0,7.599999999999994,25.9,28.0,2314.814814814815,Midwest
NE,2020,1,22.0,31.90000000000001,5.6,23.7,7.2,-73.0,11.700000000000005,23.1,29.5,2212.389380530973,Midwest
NE,2021,1,19.90000000000001,38.849999999999994,5.7,23.7,7.2,-73.5,9.0,28.1,30.0,2136.7521367521367,Midwest
