,State,Start,End,LegalProtection,ConstProtection,LifeException,HealthException,FetalAnomalyException,LegalRestriction,TotalBan,BanException,GestLimit6,GestLimit7_14,GestLimit15_20,HeartbeatBan,MedBan,TeleBan,CriminalPenalty,CivilPenalty,LicensePenalty,ProviderPenalty,PatientPenalty,FundRestriction,FundLifeException,FundFetalAnomalyException,FundHealthException
58,Arkansas,2022-11-01,2023-02-02,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
59,Arkansas,2023-02-02,2023-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Arkansas,2023-02-03,2023-06-01,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
61,California,2018-12-01,2020-12-31,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
62,California,2020-12-31,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
63,California,2021-01-01,2022-06-01,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64,California,2022-06-01,2022-06-23,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65,California,2022-06-23,2022-06-24,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
66,California,2022-06-24,2022-06-26,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
67,California,2022-06-26,2022-06-27,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
68,California,2022-06-27,2022-06-29,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
69,California,2022-06-29,2022-06-30,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70,California,2022-06-30,2022-09-25,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
71,California,2022-09-25,2022-09-26,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72,California,2022-09-26,2022-09-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
73,California,2022-09-27,2022-09-28,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
74,California,2022-09-28,2022-09-29,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
75,California,2022-09-29,2022-11-01,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
76,California,2022-11-01,2022-11-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
