Abortion_Restricted,Inadequate Prenatal Care,No Cancer Screen,Infant Mortality,Maternal Mortality,Maternity Care Desert,Maternity Practices Score,No Postpartum Visit,Severe Maternal Morbidity,Unintended Pregnancy,No Preventative,Patients Per Doctor
0,0.6773938266374608,0.12722460335223248,0.05161618566363883,-0.39313213831280813,-0.8202875763604408,-0.05052438554289681,-0.5164585323459389,0.7987878432503972,0.1373620327432321,-0.8367797536496262,-0.850609449169362
0,0.3839815480899845,0.7669176982686856,-1.2828772811816957,-1.8223727768947184,-0.8744785203190946,-0.972594421700742,1.1509887226558555,1.1809794049554094,0.4952907908594523,0.36928452016639857,0.21136866850507058
1,-1.0830798446473966,0.7432253614199278,-0.497881124213852,-1.1393728257139826,-0.7660966324017874,0.8715456506149484,-0.13637864333818148,-1.5544202009618926,-0.6110344614997735,1.2849999873230082,-0.47231110236943097
1,-1.337370486055209,-1.2943156075732174,-0.18388266142671417,-0.17811363516331677,0.37191319072993745,-0.05052438554289681,-0.13637864333818148,-1.0739508091041627,0.2566716187819723,-0.2784166639199853,0.5014700079673533
1,2.7508405950396266,1.2881491089413497,-0.3408818928202831,-1.0002432060290176,-0.8925421683053123,1.2403736650780863,-0.5041978907650492,1.2901769940139844,-0.26395202938707524,0.1459392842745422,-1.1756370189957126
1,0.4231031852296486,0.8143023719661996,0.6796131112379138,2.09855286877247,0.2635313028126304,1.7936156867727935,-0.007641906738779873,-0.03111383359477239,0.8640658749791945,-0.055071428028128984,0.7876833913337508
1,-0.5353769246921075,-0.08600642828658468,0.8366123426314827,0.8716825860959623,0.11902211892288743,-0.23493839277446585,-0.6881075144784831,-0.12393178429456124,-2.118673775989307,-0.9261178480063669,0.45269934799978134
0,-1.5134178531836961,-0.4413914810179472,-1.9893738224527548,-0.5828543469741236,-0.8925421683053123,-1.7102504506270182,-1.497309858817593,-0.4897437076407874,-0.7628830255490788,0.07893571350698673,-1.538178537449738
0,-0.4180120132731154,1.122302751000048,0.8366123426314827,-0.7093358194150007,-0.8925421683053123,-2.079078465090156,0.6360417762582387,1.2301183200317678,0.061437750718579424,-0.680438088525327,-0.0763517096398126
1,-0.5353769246921075,-0.08600642828658468,0.8366123426314827,0.8084418498755238,0.11902211892288743,-0.23493839277446585,-0.6881075144784831,-0.12393178429456124,-2.118673775989307,-0.9261178480063669,0.5138117275434998
1,0.44266400379947995,1.2881491089413497,1.7786077309928954,1.3649603286153826,1.6002412537927515,1.0559596578465174,2.328010314421834,-1.0084322556690184,0.6146003768981921,-0.055071428028128984,2.26154537146813
1,0.1688125438218371,-1.223238597026944,0.9936115740250515,0.7452011136550852,-0.007423416980637424,0.6871316433833793,0.48891407728749536,0.6186118213037488,-1.804130321887174,0.61496427964744,-0.10512815763790231
0,-0.730985110390425,0.24568628759602,-0.8118795870009891,-1.544113537524789,-0.47707826462230174,0.13388962168867222,-0.7064984768498255,1.3283961501844859,-0.6489966025121,0.23527737863128284,-0.8703022583141594
0,0.9121236494754423,-0.70200718635428,-0.733379971304205,-1.076132089493544,-0.5854601525396088,-0.788180414469173,-0.35707019179430005,1.000803383008761,-0.2856446813941188,0.9276476098960394,-1.2402502384145113
1,-0.5940593804016029,0.3878403086885653,0.9151119583282674,0.8843307333400502,-0.440950968649866,0.3183036289202413,0.7463875504863031,-0.08025274867113143,1.1243776990637182,0.3916190437555837,0.538677108507725
0,0.5209072780788073,0.7669176982686856,-1.2828772811816957,-1.7717801879183677,-0.8744785203190946,-0.972594421700742,1.1509887226558555,1.1809794049554094,0.4952907908594523,0.36928452016639857,0.3347985780310034
1,-0.730985110390425,-0.20446811253037217,0.6011134955411297,-0.0769284572106155,2.4672963571312088,0.13388962168867222,-0.4674159660223645,-0.04203359250063004,-0.9689632196159937,-0.7027726121145105,0.6667620054141248
1,-0.26152546471446264,-1.2469309338757018,0.4441142641475607,-0.7346321139031761,-0.675778392470698,0.3183036289202413,0.157876754603311,0.34561784865731143,-0.19887407336594415,-1.305804749022524,-0.7970488136692613
1,-1.0830798446473966,-2.1472397341284877,0.05161618566363883,-1.4302802123279998,-0.40482367267743025,-0.05052438554289681,-1.0927086866480356,-0.686299367946222,-0.20972039936946613,-0.16674404597405715,0.03243005469514684
0,2.1053335822351777,0.435224982386081,-0.3408818928202831,0.44164557979698055,-0.3506327287187767,-1.157008428932311,1.2613344968839142,1.3229362707315566,-0.07956448732720435,2.3347225960147338,-1.420035057401562
1,0.18837336239166705,-0.062314091437826846,-0.8118795870009891,1.3902566231035585,0.10095847093666964,1.2403736650780863,-0.7248894392211678,-1.4943615269796764,-0.26395202938707524,1.6200178411607928,-0.0666765113951457
0,0.6969546452072914,0.41153264553732316,-1.6753753596656173,0.18868263491522647,-0.8925421683053123,-0.6037664072376039,0.26822252883137093,-0.2167497349943501,-0.6327271135068171,-0.010402380849757873,0.002240669947643303
1,-0.8679108403792486,1.19337976154632,2.5636038879607392,1.9214788073552422,2.846632964841783,-0.05052438554289681,0.930297174199737,-0.811876595363583,1.080992395049631,-1.1717976074874108,1.9823595584969043
1,-0.6723026546809311,-0.4887761547154629,-0.026883430033145268,-0.10222475169879082,0.4080404867023732,1.4247876723096555,-1.2030544608761,-1.4889016475267478,-0.15548876935185701,0.21294285504209848,0.5512016661608876
