State,Measure,Year,Value
AL,Smoking During Pregnancy,2023,3.9
AL,Unemployment,2018,5.8
AL,Unemployment,2019,4.9
AL,Unemployment,2020,5.1
AL,Unemployment,2021,5.3
AL,Unemployment,2022,4.3
AL,Unemployment,2023,4.0
AL,Uninsured Women,2018,16.4
AL,Uninsured Women,2019,14.9
AL,Uninsured Women,2020,15.4
AL,Uninsured Women,2021,15.9
AL,Uninsured Women,2022,13.8
AL,Uninsured Women,2023,12.6
AL,Unintended Pregnancy,2018,38.4
AL,Unintended Pregnancy,2019,38.4
AL,Unintended Pregnancy,2020,33.0
AL,Unintended Pregnancy,2021,37.3
AL,Unintended Pregnancy,2022,36.6
AL,Unintended Pregnancy,2023,36.6
AL,Voter Participation (Average),2018,55.6
AL,Voter Participation (Average),2019,55.6
AL,Voter Participation (Average),2020,53.0
AL,Voter Participation (Average),2021,53.0
AL,Voter Participation (Average),2022,53.0
AL,Voter Participation (Average),2023,52.1
AL,WIC Coverage,2018,56.0
AL,WIC Coverage,2019,52.4
AL,WIC Coverage,2020,48.8
AL,WIC Coverage,2021,48.7
AL,WIC Coverage,2022,48.9
AL,WIC Coverage,2023,48.9
AL,Well-Woman Visit,2018,72.6
AL,Well-Woman Visit,2019,72.9
AL,Well-Woman Visit,2020,72.9
AL,Well-Woman Visit,2021,72.3
AL,Well-Woman Visit,2022,73.6
AL,Well-Woman Visit,2023,73.6
AL,Women's Health Providers,2018,30.2
AL,Women's Health Providers,2019,30.2
AL,Women's Health Providers,2020,31.0
AL,Women's Health Providers,2021,31.2
AL,Women's Health Providers,2022,27.5
AL,Women's Health Providers,2023,27.8
ALL,Adequate Prenatal Care,2018,76.4
ALL,Adequate Prenatal Care,2019,76.7
ALL,Adequate Prenatal Care,2020,74.7
ALL,Adequate Prenatal Care,2021,75.6
ALL,Adequate Prenatal Care,2022,74.9
ALL,Adequate Prenatal Care,2023,75.2
ALL,Avoided Care Due to Cost,2018,12.2
ALL,Avoided Care Due to Cost,2019,12.6
ALL,Avoided Care Due to Cost,2020,10.7
ALL,Avoided Care Due to Cost,2021,8.8
ALL,Avoided Care Due to Cost,2022,10.1
ALL,Avoided Care Due to Cost,2023,10.6
ALL,Cervical Cancer Screening,2018,79.9
ALL,Cervical Cancer Screening,2019,72.825
ALL,Cervical Cancer Screening,2020,65.75
ALL,Cervical Cancer Screening,2021,58.675000000000004
ALL,Cervical Cancer Screening,2022,51.6
ALL,Cervical Cancer Screening,2023,51.6
ALL,Concentrated Disadvantage,2018,25.9
ALL,Concentrated Disadvantage,2019,25.9
ALL,Concentrated Disadvantage,2020,25.9
ALL,Concentrated Disadvantage,2021,25.9
ALL,Concentrated Disadvantage,2022,25.9
ALL,Concentrated Disadvantage,2023,25.9
ALL,Food Insecurity,2018,10.7
ALL,Food Insecurity,2019,10.7
ALL,Food Insecurity,2020,11.2
ALL,Food Insecurity,2021,11.2
ALL,Food Insecurity,2022,11.2
ALL,Food Insecurity,2023,12.2
ALL,Gender Pay Gap,2018,81.1
ALL,Gender Pay Gap,2019,81.0
ALL,Gender Pay Gap,2020,81.25
ALL,Gender Pay Gap,2021,81.5
ALL,Gender Pay Gap,2022,82.0
ALL,Gender Pay Gap,2023,81.1
ALL,Infant Child Care Affordability,2018,12.3
ALL,Infant Child Care Affordability,2019,12.5
ALL,Infant Child Care Affordability,2020,12.0
ALL,Infant Child Care Affordability,2021,12.0
ALL,Infant Child Care Affordability,2022,12.5
ALL,Infant Child Care Affordability,2023,11.7
ALL,Infant Mortality,2018,5.6
ALL,Infant Mortality,2019,5.6
ALL,Infant Mortality,2020,5.5
ALL,Infant Mortality,2021,5.5
ALL,Infant Mortality,2022,5.6
ALL,Infant Mortality,2023,5.6
ALL,Low Birth Weight,2018,8.3
ALL,Low Birth Weight,2019,8.3
ALL,Low Birth Weight,2020,8.2
ALL,Low Birth Weight,2021,8.5
ALL,Low Birth Weight,2022,8.6
ALL,Low Birth Weight,2023,8.6
ALL,Low-Risk Cesarean Delivery,2018,25.9
ALL,Low-Risk Cesarean Delivery,2019,25.6
ALL,Low-Risk Cesarean Delivery,2020,25.9
ALL,Low-Risk Cesarean Delivery,2021,26.3
ALL,Low-Risk Cesarean Delivery,2022,26.3
ALL,Low-Risk Cesarean Delivery,2023,26.6
ALL,Maternal Mortality,2018,23.2
ALL,Maternal Mortality,2019,23.5
ALL,Maternal Mortality,2020,23.5
ALL,Maternal Mortality,2021,23.5
ALL,Maternal Mortality,2022,23.5
ALL,Maternal Mortality,2023,23.5
ALL,Maternity Care Desert,2018,3.1
ALL,Maternity Care Desert,2019,3.1
ALL,Maternity Care Desert,2020,3.1
ALL,Maternity Care Desert,2021,3.1
ALL,Maternity Care Desert,2022,3.1
ALL,Maternity Care Desert,2023,3.1
ALL,Maternity Practices Score,2018,79.0
ALL,Maternity Practices Score,2019,80.0
ALL,Maternity Practices Score,2020,81.0
ALL,Maternity Practices Score,2021,81.0
