State,Year,Inadequate Prenatal Care,Avoided Care Due to Cost,No Cancer Screen,Concentrated Disadvantage,Food Insecurity,Gender Pay Gap,Infant Child Care Affordability,Infant Mortality,Low Birth Weight,Maternal Mortality,Maternity Care Desert,Maternity Practices Score,Neonatal Mortality,Postpartum Depression,No Postpartum Visit,Poverty,Severe Maternal Morbidity,Smoking During Pregnancy,Unemployment,Uninsured Women,Unintended Pregnancy,Voter Abstainment,WIC Shortfall,No Preventative,Patients Per Doctor
KS,2022,16.799999999999997,10.8,42.4,14.9,10.6,23.200000000000003,15.8,5.6,7.8,23.1,7.0,-82.0,3.5,11.9,7.900000000000006,12.6,68.9,5.5,3.6,11.9,29.0,37.4,54.4,26.900000000000006,2564.102564102564
KS,2023,16.700000000000003,10.9,42.4,14.9,10.6,21.200000000000003,14.0,5.5,7.6,23.1,7.0,-82.0,3.5,16.3,9.0,11.7,68.9,4.9,3.3,11.0,29.0,34.900000000000006,54.4,25.799999999999997,2439.0243902439024
KY,2018,19.299999999999997,12.6,16.200000000000003,29.9,13.8,21.700000000000003,8.2,5.5,8.9,34.6,15.6,-68.0,3.5,14.0,11.5,16.4,75.2,17.1,5.4,7.6,30.9,38.8,45.0,27.099999999999994,2398.0815347721823
KY,2019,19.0,12.1,24.099999999999994,29.9,13.8,21.400000000000006,9.4,5.7,8.7,34.6,15.6,-70.5,3.5,13.9,10.799999999999997,16.2,70.0,15.3,4.8,9.1,33.0,38.8,46.75,27.099999999999994,2398.0815347721823
KY,2020,21.099999999999994,10.45,32.0,29.9,13.8,21.25,9.2,5.7,8.5,34.6,15.6,-73.0,3.7,13.9,14.0,16.45,79.0,14.8,5.1,8.0,33.8,39.6,48.5,27.200000000000003,2375.296912114014
KY,2021,20.599999999999994,8.8,39.9,29.9,14.5,21.099999999999994,8.8,6.0,9.1,34.6,15.6,-73.5,3.4,15.75,12.099999999999994,16.7,97.6,12.7,5.4,6.9,31.45,39.6,40.8,26.5,2358.490566037736
KY,2022,20.700000000000003,10.0,47.8,29.9,14.5,20.799999999999997,10.9,6.0,8.9,34.6,15.6,-74.0,3.6,17.6,10.200000000000003,17.0,86.1,10.5,4.3,7.3,29.1,39.6,36.9,26.5,2538.0710659898477
KY,2023,21.0,10.0,47.8,29.3,14.5,18.400000000000006,10.3,6.2,8.8,31.4,15.6,-74.0,3.6,15.0,10.900000000000006,16.9,86.1,8.7,4.1,7.0,29.1,40.0,36.9,26.099999999999994,2518.8916876574303
LA,2018,22.0,14.8,13.5,43.5,14.8,30.799999999999997,8.6,7.8,10.8,37.3,5.4,-75.0,4.7,15.9,11.099999999999994,18.1,71.7,6.2,6.6,10.5,41.3,44.1,54.3,22.799999999999997,2500.0
LA,2019,21.400000000000006,14.8,20.700000000000003,43.5,14.8,28.700000000000003,9.5,7.8,10.8,37.3,5.4,-78.0,4.6,19.3,11.099999999999994,19.0,74.9,5.1,5.5,11.6,40.5,44.1,59.9,22.0,2500.0
