State,Year,Inadequate Prenatal Care,Avoided Care Due to Cost,No Cancer Screen,Concentrated Disadvantage,Food Insecurity,Gender Pay Gap,Infant Child Care Affordability,Infant Mortality,Low Birth Weight,Maternal Mortality,Maternity Care Desert,Maternity Practices Score,Neonatal Mortality,Postpartum Depression,No Postpartum Visit,Poverty,Severe Maternal Morbidity,Smoking During Pregnancy,Unemployment,Uninsured Women,Unintended Pregnancy,Voter Abstainment,WIC Shortfall,No Preventative,Patients Per Doctor
RI,2019,9.0,8.6,25.075000000000003,26.0,8.4,14.799999999999997,10.7,4.9,7.8,19.7,0.0,-96.0,3.5,11.5,5.799999999999997,11.9,111.3,4.8,4.2,6.1,28.7,41.0,43.3,18.900000000000006,1564.9452269170579
RI,2020,11.400000000000006,7.75,33.150000000000006,26.0,8.6,14.449999999999989,10.6,4.9,7.7,19.7,0.0,-96.0,3.5,10.333333333333334,5.066666666666663,12.0,86.6,4.2,5.95,5.949999999999999,27.7,39.6,45.0,20.5,1430.6151645207437
RI,2021,12.700000000000003,6.9,41.224999999999994,26.0,8.6,14.099999999999994,12.6,4.1,7.9,19.7,0.0,-96.0,3.2,9.166666666666666,4.333333333333314,12.1,114.8,3.4,7.7,5.8,26.7,39.6,47.1,20.5,1385.0415512465374
RI,2022,13.5,7.8,49.3,26.0,8.6,16.900000000000006,12.4,4.3,7.9,19.7,0.0,-96.0,3.2,8.0,3.5999999999999943,12.1,107.8,2.5,4.5,4.4,25.7,39.6,45.3,21.099999999999994,1655.6291390728477
RI,2023,16.099999999999994,8.3,49.3,27.8,9.7,10.700000000000003,12.9,4.3,7.7,19.7,0.0,-96.0,2.8,11.8,2.9000000000000057,12.2,107.8,1.6,4.8,5.1,19.6,37.8,45.3,21.400000000000006,1605.1364365971108
SC,2018,22.799999999999997,15.8,17.5,28.5,11.2,20.400000000000006,8.7,7.0,9.6,32.3,2.5,-77.0,4.7,10.5,11.400000000000006,14.9,79.6,8.2,5.4,14.6,37.0,43.9,57.2,25.799999999999997,2433.0900243309
SC,2019,21.200000000000003,14.9,25.5,28.5,12.6,23.5,11.2,7.0,9.8,32.3,2.5,-79.5,4.5,10.5,11.400000000000006,14.0,72.5,7.4,4.7,15.8,37.0,43.9,61.1,26.400000000000006,2433.0900243309
SC,2020,21.599999999999994,13.3,33.5,28.5,12.6,22.849999999999994,11.1,7.0,9.8,32.3,2.5,-82.0,4.6,10.5,11.400000000000006,14.2,75.3,6.5,5.15,15.0,37.0,45.8,65.0,27.5,2352.9411764705883
SC,2021,23.299999999999997,11.7,41.5,28.5,12.6,22.200000000000003,12.6,7.0,10.0,32.3,2.5,-81.0,4.6,10.5,11.400000000000006,14.4,99.3,5.3,5.6,14.2,37.0,45.8,59.8,27.5,2304.147465437788
SC,2022,22.5,12.8,49.5,28.5,14.4,21.700000000000003,11.5,7.0,10.0,32.3,2.5,-80.0,4.6,10.5,11.400000000000006,14.1,87.1,4.3,4.4,12.8,37.0,45.8,58.3,28.700000000000003,2463.054187192118
SC,2023,20.5,12.8,49.5,27.0,14.4,19.5,9.2,6.9,10.0,31.5,2.5,-80.0,4.4,10.5,11.400000000000006,14.3,87.1,3.2,4.3,12.9,37.0,46.2,58.3,28.799999999999997,2457.002457002457
SD,2018,24.099999999999994,10.5,27.900000000000006,12.9,9.1,22.0,7.5,6.4,6.6,28.1,16.3,-73.0,3.5,13.0,10.599999999999994,11.3,57.1,11.8,3.1,13.8,27.6,44.8,42.5,25.900000000000006,2403.846153846154
SD,2019,24.0,9.8,32.47500000000001,12.9,9.1,24.799999999999997,7.85,6.4,7.0,28.1,16.3,-75.0,4.0,12.6,10.400000000000006,10.6,52.5,10.8,3.0,15.4,29.1,44.8,46.75,26.299999999999997,2403.846153846154
SD,2020,26.200000000000003,8.8,37.05,12.9,9.1,22.599999999999994,8.2,6.7,6.9,28.1,16.3,-77.0,4.0,12.6,12.599999999999994,10.95,44.5,10.2,2.9,15.05,30.5,44.0,51.0,26.299999999999997,2392.3444976076557
SD,2021,24.5,7.8,41.625,12.9,9.0,20.400000000000006,8.0,6.7,7.1,28.1,16.3,-75.0,3.7,11.1,9.099999999999994,11.3,66.3,9.2,2.8,14.7,24.4,44.0,44.7,26.099999999999994,2380.9523809523807
SD,2022,23.299999999999997,7.6,46.2,12.9,9.0,19.900000000000006,7.8,6.9,7.1,28.1,16.3,-73.0,3.7,11.0,9.900000000000006,12.0,43.6,7.4,2.8,10.3,25.0,44.0,40.6,26.099999999999994,2487.5621890547263
SD,2023,23.5,10.3,46.2,10.6,9.0,19.5,7.8,7.1,7.2,23.1,16.3,-73.0,4.1,13.0,10.700000000000003,11.6,43.6,6.3,2.6,11.3,25.0,43.8,40.6,26.700000000000003,2421.3075060532688
TN,2018,25.0,15.8,17.400000000000006,25.3,12.5,19.900000000000006,11.3,6.9,9.3,41.1,6.4,-72.0,4.5,15.5,11.700000000000003,14.7,79.4,12.2,5.6,13.4,38.3,42.0,58.9,24.700000000000003,2469.135802469136
TN,2019,25.5,14.9,25.875,25.3,12.5,19.400000000000006,11.5,6.7,9.2,41.1,6.4,-71.0,4.2,15.5,11.700000000000003,13.6,73.1,11.5,4.5,13.8,38.3,42.0,62.25,24.700000000000003,2469.135802469136
TN,2020,27.0,13.2,34.349999999999994,25.3,12.5,19.05000000000001,13.1,6.7,8.9,41.1,6.4,-70.0,4.2,15.3,11.299999999999997,13.7,88.6,10.9,4.9,13.55,41.0,44.5,65.6,27.799999999999997,2392.3444976076557
TN,2021,26.0,11.5,42.825,25.3,11.7,18.700000000000003,12.5,6.4,9.3,41.1,6.4,-71.0,3.5,13.0,11.299999999999997,13.8,96.8,9.1,5.3,13.3,34.6,44.5,61.0,27.0,2369.6682464454975
TN,2022,25.700000000000003,12.6,51.3,25.3,11.7,18.599999999999994,12.0,6.6,9.0,41.1,6.4,-72.0,3.6,12.75,9.349999999999994,13.5,88.0,7.3,3.4,12.5,34.6,44.5,58.4,26.799999999999997,2577.319587628866
TN,2023,26.299999999999997,14.9,51.3,24.3,11.7,17.700000000000003,12.0,6.6,9.1,42.1,6.4,-72.0,3.6,12.5,7.400000000000006,14.2,88.0,6.0,4.0,12.6,34.6,45.3,58.4,26.799999999999997,2475.2475247524753
TX,2018,29.599999999999994,16.8,22.700000000000003,36.1,13.3,19.700000000000003,11.2,5.5,8.5,28.2,3.7,-77.0,3.6,12.8,13.5,14.0,66.2,2.7,5.0,26.2,53.0,43.8,50.1,32.7,2518.8916876574303
TX,2019,29.299999999999997,18.8,30.299999999999997,36.1,13.7,20.599999999999994,11.6,5.5,8.4,28.2,3.7,-78.0,3.6,12.8,13.5,13.1,72.4,2.4,4.4,26.3,53.0,43.8,52.0,32.900000000000006,2518.8916876574303
TX,2020,29.799999999999997,17.35,37.9,36.1,15.5,20.0,11.6,5.4,8.2,28.2,3.7,-79.0,3.6,12.8,13.5,13.4,79.5,2.1,5.300000000000001,25.950000000000003,53.0,44.5,53.9,32.900000000000006,2463.054187192118
TX,2021,28.900000000000006,15.9,45.5,36.1,15.5,19.400000000000006,11.7,5.5,8.6,28.2,3.7,-79.5,3.6,12.8,13.5,13.7,92.5,1.7,6.2,25.6,53.0,44.5,55.1,34.599999999999994,2433.0900243309
TX,2022,30.299999999999997,16.8,53.1,36.1,15.5,19.900000000000006,12.0,5.8,8.7,28.2,3.7,-80.0,3.8,12.8,13.5,13.7,79.8,1.3,4.4,23.0,53.0,44.5,51.6,33.8,2624.6719160104985
TX,2023,31.200000000000003,18.3,53.1,35.6,16.9,18.200000000000003,10.1,5.8,8.6,29.3,3.7,-80.0,3.8,12.8,13.5,13.3,79.8,1.0,4.4,22.6,53.0,47.5,51.6,33.8,2583.9793281653747
UT,2018,15.299999999999997,13.0,27.599999999999994,7.2,10.0,26.700000000000003,12.3,5.4,7.2,15.5,0.7,-73.0,4.1,14.7,8.599999999999994,9.1,47.3,2.8,3.2,12.2,24.5,39.4,56.5,33.2,1956.9471624266143
UT,2019,15.5,14.3,33.44999999999999,7.2,11.2,30.200000000000003,12.0,5.4,7.4,15.5,0.7,-75.0,4.0,15.2,8.0,9.1,53.7,2.6,3.2,12.4,22.1,39.4,60.9,33.2,1956.9471624266143
UT,2020,17.400000000000006,12.4,39.3,7.2,10.7,28.599999999999994,10.4,5.4,7.0,15.5,0.7,-77.0,4.0,15.1,11.099999999999994,9.3,59.0,2.2,3.35,11.6,21.5,39.4,65.3,32.8,1851.851851851852
UT,2021,15.700000000000003,10.5,45.15,7.2,10.7,27.0,12.1,5.0,7.4,15.5,0.7,-77.0,3.5,16.5,9.299999999999997,9.5,72.0,1.9,3.5,10.8,22.3,41.8,63.6,33.900000000000006,1834.8623853211009
UT,2022,18.0,11.8,51.0,7.2,10.7,26.900000000000006,11.7,5.1,7.6,15.5,0.7,-77.0,3.7,15.3,9.0,8.5,60.1,1.6,2.7,9.7,21.0,40.1,60.0,32.8,1968.5039370078741
UT,2023,19.200000000000003,11.6,51.0,6.6,11.8,27.400000000000006,10.9,5.1,7.4,16.1,0.7,-77.0,3.7,15.7,7.799999999999997,9.2,60.1,1.3,3.3,9.1,19.5,40.1,60.0,32.8,1919.3857965451054
VA,2018,20.799999999999997,13.0,16.200000000000003,14.8,8.5,21.700000000000003,13.4,5.7,8.2,32.7,6.9,-81.0,3.8,13.5,9.799999999999997,10.5,69.2,5.5,4.3,11.9,29.9,35.5,55.0,24.0,2237.1364653243845
VA,2019,20.299999999999997,12.0,24.400000000000006,14.8,8.5,20.400000000000006,13.7,5.8,8.4,32.7,6.9,-81.5,3.9,14.6,8.900000000000006,9.8,66.9,5.2,4.0,10.6,31.2,35.5,56.0,24.0,2237.1364653243845
VA,2020,21.900000000000006,9.95,32.599999999999994,14.8,9.3,20.400000000000006,13.3,5.8,8.3,32.7,6.9,-82.0,3.9,11.8,12.900000000000006,10.1,73.8,5.0,4.4,9.8,29.1,35.5,57.0,25.5,2169.1973969631235
VA,2021,20.700000000000003,7.9,40.8,14.8,9.3,20.400000000000006,11.9,5.9,8.3,32.7,6.9,-81.5,3.9,11.4,8.0,10.4,82.1,4.1,4.8,9.0,22.6,37.6,51.7,27.200000000000003,2123.1422505307855
VA,2022,20.200000000000003,9.6,49.0,14.8,9.3,20.400000000000006,12.8,6.0,8.4,32.7,6.9,-81.0,4.0,14.0,8.299999999999997,11.2,83.8,3.3,3.6,8.6,23.9,36.9,51.1,25.200000000000003,2257.3363431151242
VA,2023,20.5,9.2,49.0,15.3,10.0,19.599999999999994,12.2,6.0,8.4,33.4,6.9,-81.0,4.0,13.1,8.700000000000003,10.7,83.8,2.7,3.7,8.7,39.2,36.9,51.1,25.200000000000003,2207.505518763797
WA,2018,25.299999999999997,11.0,23.799999999999997,16.2,8.8,21.200000000000003,15.4,4.5,6.6,18.0,1.1,-85.0,3.0,11.4,7.599999999999994,9.8,66.8,6.0,4.4,9.1,26.5,33.3,45.1,30.5,1901.1406844106464
WA,2019,27.0,11.5,29.775000000000006,16.2,8.8,22.299999999999997,15.3,4.5,6.4,17.3,1.1,-85.0,3.0,12.9,9.799999999999997,9.5,68.2,5.4,4.6,9.5,24.7,33.3,48.75,30.5,1901.1406844106464
WA,2020,29.700000000000003,9.9,35.75,16.2,8.8,22.5,15.0,4.4,6.7,17.3,1.1,-85.0,2.9,12.2,9.299999999999997,9.7,77.9,4.9,5.25,9.15,20.5,34.400000000000006,52.4,32.099999999999994,1814.8820326678765
WA,2021,28.700000000000003,8.3,41.725,16.2,9.5,22.700000000000003,16.1,4.4,7.0,17.3,1.1,-85.5,2.9,11.6,7.299999999999997,9.9,102.8,4.0,5.9,8.8,23.7,34.400000000000006,50.7,33.8,1763.668430335097
WA,2022,29.200000000000003,9.7,47.7,16.2,9.5,19.299999999999997,17.0,4.7,7.0,17.3,1.1,-86.0,3.0,11.8,9.0,10.1,100.5,3.2,4.1,8.1,22.0,34.400000000000006,47.6,31.599999999999994,1848.4288354898335
WA,2023,28.900000000000006,9.7,47.7,16.2,9.5,21.099999999999994,13.4,4.7,7.0,17.3,1.1,-86.0,3.0,9.5,9.0,10.4,100.5,2.7,4.5,8.2,20.2,35.099999999999994,47.6,31.599999999999994,1808.3182640144666
WI,2018,15.5,9.9,13.200000000000003,12.8,9.7,20.299999999999997,13.6,6.0,7.7,13.2,2.7,-80.0,3.9,10.5,9.099999999999994,11.0,62.3,10.1,3.2,7.9,28.7,30.900000000000006,44.8,24.0,2202.6431718061676
WI,2019,16.299999999999997,10.6,19.599999999999994,12.6,9.9,19.0,13.4,5.9,7.6,13.2,2.7,-80.0,3.9,13.8,9.299999999999997,10.2,65.4,8.9,3.2,7.8,26.7,30.900000000000006,47.849999999999994,24.0,2202.6431718061676
WI,2020,18.900000000000006,8.75,26.0,12.6,9.9,19.299999999999997,13.1,5.9,7.7,13.2,2.7,-80.0,3.9,13.8,11.400000000000006,10.6,79.3,8.3,3.35,7.449999999999999,24.4,32.7,50.9,27.400000000000006,2087.6826722338205
WI,2021,18.200000000000003,6.9,32.400000000000006,12.6,9.9,19.599999999999994,12.7,5.7,7.7,13.2,2.7,-81.0,3.9,12.0,7.400000000000006,11.0,77.4,6.9,3.5,7.1,18.8,32.7,48.5,27.400000000000006,2074.688796680498
WI,2022,18.0,7.9,38.8,12.6,10.7,19.0,12.8,5.8,8.0,13.2,2.7,-82.0,3.6,9.2,6.400000000000006,11.2,76.0,5.3,2.8,6.5,24.7,32.7,46.3,26.299999999999997,2212.389380530973
WI,2023,17.799999999999997,8.4,38.8,12.6,10.7,17.099999999999994,12.1,5.8,7.8,16.4,2.7,-82.0,3.6,12.9,8.599999999999994,11.1,76.0,4.2,2.8,6.2,20.9,33.400000000000006,46.3,26.299999999999997,2145.9227467811156
WV,2018,21.799999999999997,14.9,15.299999999999997,30.1,15.1,29.400000000000006,11.6,6.5,9.4,23.9,18.6,-76.0,4.1,19.4,12.799999999999997,17.4,85.5,23.9,6.1,9.4,28.8,49.9,50.5,23.599999999999994,2493.7655860349128
WV,2019,20.400000000000006,13.4,23.224999999999994,30.1,14.0,23.799999999999997,10.6,6.5,9.8,23.9,18.6,-78.0,4.1,17.7,11.949999999999989,16.7,83.7,23.0,6.0,8.5,25.4,49.9,52.25,23.599999999999994,2493.7655860349128
WV,2020,24.0,11.8,31.150000000000006,30.1,14.2,23.349999999999994,11.9,6.7,9.3,23.9,18.6,-80.0,4.3,16.0,11.099999999999994,17.15,98.8,21.4,6.1,8.55,22.0,49.9,54.0,23.099999999999994,2421.3075060532688
WV,2021,22.799999999999997,10.2,39.075,30.1,14.2,22.900000000000006,10.2,7.1,9.8,23.9,18.6,-80.5,4.5,11.5,6.200000000000003,17.6,95.3,18.2,6.2,8.6,17.7,52.7,47.9,24.0,2369.6682464454975
WV,2022,19.799999999999997,10.3,47.0,30.1,14.2,22.599999999999994,12.3,6.5,10.0,23.9,18.6,-81.0,4.2,12.1,8.099999999999994,18.0,87.8,15.3,4.7,7.1,17.7,51.0,41.2,23.900000000000006,2518.8916876574303
WV,2023,17.900000000000006,12.5,47.0,28.1,13.7,21.900000000000006,8.8,6.5,9.8,24.4,18.6,-81.0,4.2,12.7,10.0,17.2,87.8,12.3,4.5,8.6,17.7,51.0,41.2,23.900000000000006,2439.0243902439024
WY,2018,28.200000000000003,13.2,20.799999999999997,6.2,11.5,30.900000000000006,12.0,6.3,9.4,35.5,5.5,-76.0,3.8,15.7,7.0,11.0,52.4,13.4,4.0,15.5,31.4,41.2,48.5,35.3,2242.152466367713
WY,2019,27.0,13.5,27.5,6.2,11.5,36.6,10.1,6.2,9.8,35.5,5.5,-75.5,3.8,15.3,8.5,10.7,84.5,13.6,3.6,19.2,25.1,41.2,52.35,35.099999999999994,2242.152466367713
WY,2020,24.299999999999997,12.0,34.2,6.2,11.5,34.400000000000006,10.2,5.3,9.7,35.5,5.5,-75.0,3.6,14.8,9.900000000000006,11.25,40.3,12.5,3.65,17.55,29.8,42.7,56.2,35.099999999999994,2169.1973969631235
WY,2021,23.5,10.5,40.9,6.2,13.1,32.2,10.2,5.5,9.4,35.5,5.5,-75.0,3.6,17.4,6.700000000000003,11.8,74.1,9.8,3.7,15.9,26.4,42.7,57.3,34.2,2227.1714922049
WY,2022,25.200000000000003,11.8,47.6,6.2,13.1,22.099999999999994,10.2,5.5,9.5,35.5,5.5,-75.0,3.2,14.4,5.0,11.9,61.2,9.3,3.8,15.9,24.2,42.7,54.8,34.3,2127.659574468085
WY,2023,24.5,12.0,47.6,7.3,13.1,26.0,10.3,4.7,9.0,35.5,5.5,-75.0,3.2,11.4,7.400000000000006,11.6,61.2,7.3,3.2,14.6,24.2,43.6,54.8,34.3,2164.5021645021643
